_date,total_clones,unique_clones
2022-12-02,7,5
2022-12-03,5,5
2022-12-04,3,2
2022-12-05,17,8
2022-12-06,10,5
2022-12-07,11,8
2022-12-08,1,1
2022-12-09,1,1
2022-12-10,3,2
2022-12-11,4,3
2022-12-12,9,5
2022-12-13,15,6
2022-12-14,5,3
2022-12-15,6,4
2022-12-16,16,7
2022-12-17,2,2
2022-12-18,3,3
2022-12-19,4,3
2022-12-20,5,5
2022-12-21,1,1
2022-12-22,1,1
2022-12-23,3,3
2022-12-24,3,2
2022-12-25,2,2
2022-12-26,3,2
2022-12-27,1,1
2022-12-28,3,3
2022-12-29,5,3
2022-12-30,6,3
2022-12-31,1,1
2023-01-01,4,4
2023-01-02,3,2
2023-01-03,7,5
2023-01-04,14,6
2023-01-05,2,2
2023-01-06,1,1
2023-01-08,3,3
2023-01-09,8,6
2023-01-10,1,1
2023-01-11,1,1
2023-01-12,2,2
2023-01-13,1,1
2023-01-14,1,1
2023-01-15,1,1
2023-01-16,5,4
2023-01-17,2,2
2023-01-18,4,2
2023-01-19,4,4
2023-01-20,2,2
2023-01-22,1,1
2023-01-23,4,3
2023-01-24,1,1
2023-01-25,3,3
2023-01-26,2,2
2023-01-27,2,2
2023-01-29,2,2
2023-01-30,7,6
2023-01-31,7,6
2023-02-01,3,3
2023-02-02,4,4
2023-02-03,3,2
2023-02-04,4,3
2023-02-05,2,2
2023-02-06,5,4
2023-02-07,3,3
2023-02-08,1,1
2023-02-09,1,1
2023-02-10,1,1
2023-02-11,2,2
2023-02-12,1,1
2023-02-13,11,6
2023-02-14,6,5
